"district","conservativenessRepresentative","republicanRepresentative","blackDistrictPop","districtMedianIncome","districtHS","districtBachelors"
"426","WI.3",-0.272,0,0.9,49751,90.3,23.6
"427","WI.4",-0.49,0,35.3,37030,81.4,21
"428","WI.5",1.084,1,2.3,68558,95.1,40.5
"429","WI.6",0.65,1,1.5,50808,88.9,18.9
"430","WI.7",-0.438,0,0.6,46144,89.8,19.5
"431","WI.8",0.735,1,1,50112,91.1,22.7
"432","WV.1",-0.282,0,2.1,38082,86.9,19.6
"433","WV.2",0.427,1,3.5,42724,82.9,18.2
"434","WV.3",-0.252,0,4,33742,79.8,14.7
"435","WY.0",0.614,1,0.8,53802,92.3,24.1
